age,qx,px,lx,dx,lx_next,Lx,Tx,ex
0,0.00477483607198983,0.9952251639280102,100000,477.483607198983,99522.51639280102,99761.25819640051,7670029.425956977,76.70029425956976
1,3.1344228926554894e-4,0.9996865577107344,99522.51639280102,31.19456537162767,99491.32182742939,99506.91911011521,7570268.167760576,76.06588380343821
2,2.000551876379691e-4,0.999799944812362,99491.32182742939,19.903755056535957,99471.41807237285,99481.36994990113,7470761.248650461,75.08957677342669
3,1.6121534457040808e-4,0.9998387846554296,99471.41807237285,16.036318939444705,99455.38175343341,99463.39991290313,7371279.87870056,74.10450179103113
4,1.2112791464044604e-4,0.9998788720853595,99455.38175343341,12.046822991562857,99443.33493044184,99449.35834193762,7271816.478787657,73.11636987946727
5,1.0595652250693132e-4,0.9998940434774931,99443.33493044184,10.53666995572167,99432.79826048612,99438.06659546398,7172367.120445719,72.12516681447393
6,1.0035641733672316e-4,0.9998996435826633,99432.79826048612,9.978719399187545,99422.81954108692,99427.80890078652,7072929.053850255,71.1327567722791
7,1.0200467090045258e-4,0.9998979953290995,99422.81954108692,10.141591987283658,99412.67794909964,99417.74874509328,6973501.244949468,70.13984593413826
8,9.732212101397484e-5,0.999902677878986,99412.67794909964,9.675052673685583,99403.00289642595,99407.84042276279,6874083.496204375,69.14695024837758
9,8.229969433692793e-5,0.9999177003056631,99403.00289642595,8.180836754548617,99394.82205967141,99398.91247804867,6774675.655781613,68.1536317654363
10,9.072840876907615e-5,0.9999092715912309,99394.82205967141,9.017934045359455,99385.80412562605,99390.31309264872,6675276.743303564,67.15920009692336
11,1.0174377809230918e-4,0.9998982562219076,99385.80412562605,10.111887200483402,99375.69223842556,99380.7481820258,6575886.430210915,66.16524852884258
12,1.283392511988053e-4,0.9998716607488012,99375.69223842556,12.753801929242464,99362.93843649632,99369.31533746094,6476505.68202889,65.17193023913973
13,1.4677608508943896e-4,0.9998532239149106,99362.93843649632,14.584103106691868,99348.35433338964,99355.64638494299,6377136.366691428,64.18023125158591
14,1.684681363273458e-4,0.9998315318636727,99348.35433338964,16.737032101734943,99331.6173012879,99339.98581733878,6277780.720306486,63.189579358705174
15,2.1178399402113732e-4,0.9997882160059789,99331.6173012879,21.03684664464586,99310.58045464326,99321.09887796559,6178440.734489147,62.20014233483178
16,2.5539522410930913e-4,0.9997446047758907,99310.58045464326,25.36344795163919,99285.21700669162,99297.89873066744,6079119.635611181,61.21321220539651
17,2.905575176490418e-4,0.9997094424823509,99285.21700669162,28.848066192710743,99256.3689404989,99270.79297359526,5979821.736880514,60.228722030969486
18,4.077831123812963e-4,0.9995922168876187,99256.3689404989,40.47507105022287,99215.89386944867,99236.13140497378,5880550.943906918,59.246081704158705
19,4.52345454215085e-4,0.9995476545457849,99215.89386944867,44.879858577731426,99171.01401087093,99193.4539401598,5781314.812501945,58.27004713689499
20,4.587544862797554e-4,0.9995412455137203,99171.01401087093,45.49514758639952,99125.51886328454,99148.26643707773,5682121.358561785,57.296190981156265
21,5.553099183221714e-4,0.9994446900816778,99125.51886328454,55.045383783613396,99070.47347950093,99097.99617139273,5582973.092124707,56.32225844713943
22,5.561774987155062e-4,0.9994438225012845,99070.47347950093,55.10076813638972,99015.37271136454,99042.92309543274,5483875.095953315,55.353274324342514
23,6.330440476590381e-4,0.9993669559523409,99015.37271136454,62.68109232167048,98952.69161904287,98984.03216520371,5384832.1728578815,54.38379945864542
24,6.391974458383413e-4,0.9993608025541617,98952.69161904287,63.250307741721244,98889.44131130115,98921.06646517201,5285848.140692678,53.41793188448698
25,7.177194979545224e-4,0.9992822805020455,98889.44131130115,70.97488017095027,98818.4664311302,98853.95387121568,5186927.074227506,52.45177852607345
26,7.254292872848391e-4,0.9992745707127152,98818.4664311302,71.68580967371558,98746.78062145649,98782.62352629335,5088073.120356291,51.489092111162584
27,8.063818987434362e-4,0.9991936181012565,98746.78062145649,79.62761645233164,98667.15300500415,98706.96681323032,4989290.496829997,50.52610794428151
28,8.399551736890393e-4,0.9991600448263109,98667.15300500415,82.87598563972126,98584.27701936442,98625.71501218429,4890583.530016767,49.56648064800987
29,9.240957979310522e-4,0.9990759042020689,98584.27701936442,91.10131613566546,98493.17570322876,98538.72636129659,4791957.8150045825,48.6077289390003
30,9.835656951148449e-4,0.9990164343048852,98493.17570322876,96.87450882461474,98396.30119440415,98444.73844881645,4693419.088643285,47.65222620890097
31,0.00101126417665693,0.998988735823343,98396.30119440415,99.50465451344641,98296.7965398907,98346.54886714742,4594974.350194469,46.69864918109125
32,0.00113402191395255,0.9988659780860475,98296.7965398907,111.47072134757124,98185.32581854313,98241.06117921692,4496627.801327322,45.7454155131343
33,0.0012122308749218,0.9987877691250782,98185.32581854313,119.02328342149455,98066.30253512163,98125.81417683238,4398386.740148105,44.79678305775334
34,0.00122453477696982,0.9987754652230302,98066.30253512163,120.08559790310007,97946.21693721853,98006.25973617009,4300260.925971272,43.850546159127084
35,0.00129071098769627,0.9987092890123037,97946.21693721853,126.42025840415047,97819.79667881438,97883.00680801645,4202254.666235102,42.903695493708135
36,0.00138503704509318,0.9986149629549068,97819.79667881438,135.48404214364075,97684.31263667074,97752.05465774256,4104371.659427086,41.95849714249102
37,0.00150309480901032,0.9984969051909897,97684.31263667074,146.82878324592102,97537.48385342483,97610.89824504778,4006619.6047693435,41.01599833815339
38,0.00153134304558563,0.9984686569544143,97537.48385342483,149.3633475828628,97388.12050584196,97462.80217963339,3909008.7065242957,40.07698940028622
39,0.00164594518552921,0.9983540548144708,97388.12050584196,160.29550807432912,97227.82499776763,97307.9727518048,3811545.904344662,39.13768829860538
40,0.00169859497748241,0.9983014050225176,97227.82499776763,165.1506952127468,97062.6743025549,97145.24965016126,3714237.9315928575,38.20138866294846
41,0.00191850695732184,0.9980814930426781,97062.6743025549,186.21541594571534,96876.45888660918,96969.56659458204,3617092.681942696,37.26553701444312
42,0.00191722372915136,0.9980827762708486,96876.45888660918,185.73384577356325,96690.72504083562,96783.5919637224,3520123.115348114,36.33620753488014
43,0.00207145546370753,0.9979285445362924,96690.72504083562,200.29053067568145,96490.43451015993,96590.57977549778,3423339.523384392,35.40504554018604
44,0.00222308876262157,0.9977769112373784,96490.43451015993,214.50680066000908,96275.92770949993,96383.18110982992,3326748.943608894,34.47749987340564
45,0.00237272406800905,0.997627275931991,96275.92770949993,228.43621084622987,96047.4914986537,96161.70960407681,3230365.762499064,33.55320316669679
46,0.00257901398491799,0.997420986015082,96047.4914986537,247.70782379131964,95799.78367486238,95923.63758675804,3134204.052894987,32.63181582351809
47,0.00280413260951766,0.9971958673904824,95799.78367486238,268.63529738741914,95531.14837747496,95665.46602616867,3038280.415308229,31.714898497265253
48,0.00299050864052288,0.9970094913594771,95531.14837747496,285.6867246619122,95245.46165281306,95388.30501514401,2942614.9492820604,30.80267534997927
49,0.00320878081597884,0.9967912191840211,95245.46165281306,305.6218101605948,94939.83984265247,95092.65074773275,2847226.6442669164,29.89356757643291
50,0.00344675989410274,0.9965532401058973,94939.83984265247,327.2348323221919,94612.60501033028,94776.22242649138,2752133.9935191837,28.988188710665657
51,0.00381784253858666,0.9961821574614134,94612.60501033028,361.21602809493635,94251.38898223535,94431.99699628282,2657357.7710926924,28.086720271601745
52,0.0041482825327993,0.9958517174672007,94251.38898223535,390.9813906070793,93860.40759162827,94055.89828693181,2562925.7740964093,27.192445668673102
53,0.0045102504119869,0.9954897495880131,93860.40759162827,423.3339420093998,93437.07364961888,93648.74062062358,2468869.8758094776,26.303634718390935
54,0.0049198317114437,0.9950801682885563,93437.07364961888,459.6946779658955,92977.37897165297,93207.22631063592,2375221.1351888543,25.42054285749287
55,0.00523509069923037,0.9947649093007697,92977.37897165297,486.7450118933179,92490.63395975965,92734.0064657063,2282013.9088782184,24.543753912163528
56,0.00568283438892229,0.9943171656110777,92490.63395975965,525.608955319746,91965.02500443991,92227.82948209978,2189279.902412512,23.670287559765377
57,0.00632972885442343,0.9936702711455766,91965.02500443991,582.1136723683755,91382.91133207154,91673.96816825573,2097052.0729304121,22.80271301866302
58,0.00671415819070915,0.9932858418092908,91382.91133207154,613.5593226110761,90769.35200946046,91076.131670766,2005378.1047621565,21.944782405486283
59,0.00737120655012478,0.9926287934498752,90769.35200946046,669.0796420827168,90100.27236737774,90434.8121884191,1914301.9730913904,21.08973933064843
60,0.00795843347880197,0.992041566521198,90100.27236737774,717.057024057715,89383.21534332001,89741.74385534888,1823867.1609029714,20.2426375967686
61,0.00860871509280791,0.9913912849071921,89383.21534332001,769.4746349697385,88613.74070835028,88998.47802583515,1734125.4170476224,19.401018528891186
62,0.00917682458723193,0.9908231754127681,88613.74070835028,813.1927544989837,87800.54795385129,88207.14433110078,1645126.9390217874,18.56514492979488
63,0.00992972252514237,0.9900702774748577,87800.54795385129,871.8350787372,86928.71287511408,87364.63041448269,1556919.7946906865,17.732461026427952
64,0.01058012696345574,0.9894198730365442,86928.71287511408,919.7168189884966,86008.99605612559,86468.85446561984,1469555.1642762038,16.90529073388486
65,0.01123439910592907,0.988765600894071,86008.99605612559,966.2593883947942,85042.73666773079,85525.86636192819,1383086.309810584,16.080716823017493
66,0.01205883517561307,0.987941164824387,85042.73666773079,1025.5163443592314,84017.22032337156,84529.97849555117,1297560.4434486558,15.257745626394113
67,0.01304140321798936,0.9869585967820106,84017.22032337156,1095.702447491739,82921.51787587981,83469.36909962568,1213030.4649531047,14.437879047703618
68,0.01413781028820994,0.9858621897117901,82921.51787587981,1172.328688539598,81749.18918734022,82335.35353161002,1129561.0958534789,13.6220504012511
69,0.01510690074347919,0.9848930992565208,81749.18918734022,1234.976886913051,80514.21230042717,81131.7007438837,1047225.7423218689,12.810227877881431
70,0.0164580773933283,0.9835419226066717,80514.21230042717,1325.1091373032957,79189.10316312387,79851.65773177551,966094.0415779853,11.999049782330909
71,0.01844945918350632,0.9815505408164937,79189.10316312387,1460.996126586525,77728.10703653735,78458.6050998306,886242.3838462097,11.1914688820331
