notes,Year,Year Code,age_label,age,sex,Sex Code,deaths,population,crude_rate,qx
NA,1999,1999,< 1 year,0,Female,F,12291,1852123,663.6,0.006636168332232795
NA,1999,1999,< 1 year,0,Male,M,15646,1943639,805,0.008049848763067627
NA,1999,1999,1 year,1,Female,F,886,1849170,47.9,4.7913388168745977e-4
NA,1999,1999,1 year,1,Male,M,1103,1935918,57,5.697555371663469e-4
NA,1999,1999,2 years,2,Female,F,579,1849556,31.3,3.130481045180573e-4
NA,1999,1999,2 years,2,Male,M,797,1933079,41.2,4.1229561750968273e-4
NA,1999,1999,3 years,3,Female,F,445,1868553,23.8,2.381521958435217e-4
NA,1999,1999,3 years,3,Male,M,601,1956253,30.7,3.072199761482794e-4
NA,1999,1999,4 years,4,Female,F,364,1926335,18.9,1.8895986419807561e-4
NA,1999,1999,4 years,4,Male,M,474,2020918,23.5,2.3454687424229978e-4
NA,1999,1999,5 years,5,Female,F,317,1950892,16.2,1.6248977390855056e-4
NA,1999,1999,5 years,5,Male,M,446,2048870,21.8,2.176809656054313e-4
NA,1999,1999,6 years,6,Female,F,312,1970698,15.8,1.5831953957430313e-4
NA,1999,1999,6 years,6,Male,M,384,2071922,18.5,1.8533516223101062e-4
NA,1999,1999,7 years,7,Female,F,297,2034495,14.6,1.4598217248014864e-4
NA,1999,1999,7 years,7,Male,M,386,2128808,18.1,1.8132212956734474e-4
NA,1999,1999,8 years,8,Female,F,303,2034953,14.9,1.4889778781131555e-4
NA,1999,1999,8 years,8,Male,M,389,2135753,18.2,1.8213716661055843e-4
NA,1999,1999,9 years,9,Female,F,281,2061580,13.6,1.3630322374101419e-4
NA,1999,1999,9 years,9,Male,M,359,2168489,16.6,1.6555306482993458e-4
NA,1999,1999,10 years,10,Female,F,293,2021562,14.5,1.4493742957178657e-4
NA,1999,1999,10 years,10,Male,M,394,2127091,18.5,1.8522949887898543e-4
NA,1999,1999,11 years,11,Female,F,296,1969839,15,1.5026608773610433e-4
NA,1999,1999,11 years,11,Male,M,415,2066343,20.1,2.008379054203489e-4
NA,1999,1999,12 years,12,Female,F,303,1956197,15.5,1.5489237535892348e-4
NA,1999,1999,12 years,12,Male,M,414,2053713,20.2,2.015861028293632e-4
NA,1999,1999,13 years,13,Female,F,296,1952202,15.2,1.5162365369977084e-4
NA,1999,1999,13 years,13,Male,M,551,2051405,26.9,2.6859640100321486e-4
NA,1999,1999,14 years,14,Female,F,405,1955864,20.7,2.070696122020754e-4
NA,1999,1999,14 years,14,Male,M,754,2059148,36.6,3.661708629005783e-4
NA,1999,1999,15 years,15,Female,F,512,1913334,26.8,2.675957255764022e-4
NA,1999,1999,15 years,15,Male,M,997,2025818,49.2,4.92146875978e-4
NA,1999,1999,16 years,16,Female,F,784,1948049,40.2,4.024539423802995e-4
NA,1999,1999,16 years,16,Male,M,1570,2072256,75.8,7.576284011241854e-4
NA,1999,1999,17 years,17,Female,F,892,1947136,45.8,4.581087299500394e-4
NA,1999,1999,17 years,17,Male,M,2012,2084088,96.5,9.654102897766313e-4
NA,1999,1999,18 years,18,Female,F,904,1942583,46.5,4.653597812809028e-4
NA,1999,1999,18 years,18,Male,M,2500,2047260,122.1,0.0012211443588015201
NA,1999,1999,19 years,19,Female,F,906,2010467,45.1,4.506415673572359e-4
NA,1999,1999,19 years,19,Male,M,2701,2093611,129,0.0012901154990110388
NA,1999,1999,20 years,20,Female,F,885,1915294,46.2,4.6207005295270594e-4
NA,1999,1999,20 years,20,Male,M,2616,2010201,130.1,0.0013013624010733255
NA,1999,1999,21 years,21,Female,F,860,1838440,46.8,4.6778790713866106e-4
NA,1999,1999,21 years,21,Male,M,2678,1924961,139.1,0.0013911970164590347
NA,1999,1999,22 years,22,Female,F,832,1807150,46,4.603934371800902e-4
NA,1999,1999,22 years,22,Male,M,2541,1887040,134.7,0.001346553332202815
NA,1999,1999,23 years,23,Female,F,827,1744637,47.4,4.740241093132841e-4
NA,1999,1999,23 years,23,Male,M,2461,1817832,135.4,0.0013538104731350311
NA,1999,1999,24 years,24,Female,F,840,1793094,46.8,4.684640069064979e-4
NA,1999,1999,24 years,24,Male,M,2338,1852780,126.2,0.0012618875419639676
NA,1999,1999,25 years,25,Female,F,884,1800091,49.1,4.910862839711993e-4
NA,1999,1999,25 years,25,Male,M,2253,1857316,121.3,0.0012130407534312955
NA,1999,1999,26 years,26,Female,F,909,1814511,50.1,5.009614160509361e-4
NA,1999,1999,26 years,26,Male,M,2368,1851717,127.9,0.0012788131231716293
NA,1999,1999,27 years,27,Female,F,1037,1949822,53.2,5.318434195531695e-4
NA,1999,1999,27 years,27,Male,M,2512,1985242,126.5,0.0012653369211411002
NA,1999,1999,28 years,28,Female,F,1120,2060374,54.4,5.435906296623816e-4
NA,1999,1999,28 years,28,Male,M,2642,2086110,126.6,0.0012664720460570152
NA,1999,1999,29 years,29,Female,F,1211,2071169,58.5,5.846939578566501e-4
NA,1999,1999,29 years,29,Male,M,2767,2098705,131.8,0.0013184320807355012
NA,1999,1999,30 years,30,Female,F,1295,2064871,62.7,6.271578224499255e-4
NA,1999,1999,30 years,30,Male,M,2710,2116341,128.1,0.0012805119779846442
NA,1999,1999,31 years,31,Female,F,1356,1957054,69.3,6.928781730090228e-4
NA,1999,1999,31 years,31,Male,M,2828,1979133,142.9,0.0014289085170122473
NA,1999,1999,32 years,32,Female,F,1486,2014551,73.8,7.376333485724611e-4
NA,1999,1999,32 years,32,Male,M,3113,2029406,153.4,0.0015339463862824886
NA,1999,1999,33 years,33,Female,F,1634,2036474,80.2,8.02367228847508e-4
NA,1999,1999,33 years,33,Male,M,3331,2043243,163,0.0016302515168288843
NA,1999,1999,34 years,34,Female,F,1858,2176173,85.4,8.537924144817531e-4
NA,1999,1999,34 years,34,Male,M,3752,2186103,171.6,0.0017162960757109798
NA,1999,1999,35 years,35,Female,F,2110,2293916,92,9.198244399533374e-4
NA,1999,1999,35 years,35,Male,M,4165,2311702,180.2,0.0018017028146361425
NA,1999,1999,36 years,36,Female,F,2379,2281275,104.3,0.0010428378867080909
NA,1999,1999,36 years,36,Male,M,4288,2262286,189.5,0.0018954278990366382
NA,1999,1999,37 years,37,Female,F,2592,2298941,112.7,0.001127475650745278
NA,1999,1999,37 years,37,Male,M,4714,2283851,206.4,0.002064057593949868
NA,1999,1999,38 years,38,Female,F,2928,2276449,128.6,0.0012862137478151278
NA,1999,1999,38 years,38,Male,M,5113,2253560,226.9,0.0022688546122579386
NA,1999,1999,39 years,39,Female,F,3114,2323573,134,0.0013401773905962928
NA,1999,1999,39 years,39,Male,M,5401,2296996,235.1,0.0023513319135079033
NA,1999,1999,40 years,40,Female,F,3256,2341168,139.1,0.0013907588007353595
NA,1999,1999,40 years,40,Male,M,5780,2326357,248.5,0.0024845713706021905
NA,1999,1999,41 years,41,Female,F,3537,2250723,157.1,0.0015714950262648935
NA,1999,1999,41 years,41,Male,M,6270,2211175,283.6,0.0028355964588962883
NA,1999,1999,42 years,42,Female,F,3827,2271051,168.5,0.0016851228792308054
NA,1999,1999,42 years,42,Male,M,6646,2235880,297.2,0.0029724314363919354
NA,1999,1999,43 years,43,Female,F,4029,2179527,184.9,0.0018485662256076663
NA,1999,1999,43 years,43,Male,M,7183,2118325,339.1,0.0033908866675321303
NA,1999,1999,44 years,44,Female,F,4366,2152981,202.8,0.0020278859869176736
NA,1999,1999,44 years,44,Male,M,7558,2106941,358.7,0.003587191098374373
NA,1999,1999,45 years,45,Female,F,4568,2146028,212.9,0.002128583597231723
NA,1999,1999,45 years,45,Male,M,7839,2099854,373.3,0.003733116683350366
NA,1999,1999,46 years,46,Female,F,4714,2031823,232,0.0023200839836934615
NA,1999,1999,46 years,46,Male,M,8392,1963127,427.5,0.0042748125821711995
NA,1999,1999,47 years,47,Female,F,4905,2002180,245,0.0024498296856426496
NA,1999,1999,47 years,47,Male,M,8645,1934967,446.8,0.004467776453035116
NA,1999,1999,48 years,48,Female,F,5109,1889850,270.3,0.0027033891578696722
NA,1999,1999,48 years,48,Male,M,8930,1820806,490.4,0.004904421448523346
NA,1999,1999,49 years,49,Female,F,5521,1917853,287.9,0.002878739924279911
NA,1999,1999,49 years,49,Male,M,9497,1847719,514,0.005139850810648156
NA,1999,1999,50 years,50,Female,F,5858,1915145,305.9,0.0030587762284317896
NA,1999,1999,50 years,50,Male,M,9775,1847555,529.1,0.005290776187988991
NA,1999,1999,51 years,51,Female,F,6400,1839362,347.9,0.0034794673370440402
NA,1999,1999,51 years,51,Male,M,10470,1762492,594,0.0059404524956709025
NA,1999,1999,52 years,52,Female,F,7177,1972464,363.9,0.0036385961923766415
NA,1999,1999,52 years,52,Male,M,11509,1900702,605.5,0.006055131209416311
NA,1999,1999,53 years,53,Female,F,6313,1430150,441.4,0.004414222284375765
NA,1999,1999,53 years,53,Male,M,9885,1355175,729.4,0.007294260888815097
NA,1999,1999,54 years,54,Female,F,6750,1487450,453.8,0.004537967662778581
NA,1999,1999,54 years,54,Male,M,10717,1413117,758.4,0.007583943863105461
NA,1999,1999,55 years,55,Female,F,7423,1468560,505.5,0.005054611319932451
NA,1999,1999,55 years,55,Male,M,11728,1390616,843.4,0.008433672559498812
NA,1999,1999,56 years,56,Female,F,8416,1510736,557.1,0.0055707946325499625
NA,1999,1999,56 years,56,Male,M,12919,1423773,907.4,0.009073777912630735
NA,1999,1999,57 years,57,Female,F,8132,1327155,612.7,0.0061273928064167335
NA,1999,1999,57 years,57,Male,M,12509,1234061,1013.6,0.010136451925796213
NA,1999,1999,58 years,58,Female,F,8463,1252109,675.9,0.006758996221574959
NA,1999,1999,58 years,58,Male,M,12865,1160403,1108.7,0.011086665580837003
NA,1999,1999,59 years,59,Female,F,9009,1206474,746.7,0.007467214378428379
NA,1999,1999,59 years,59,Male,M,13420,1110934,1208,0.012079925540131096
NA,1999,1999,60 years,60,Female,F,9504,1205799,788.2,0.007881910666703157
NA,1999,1999,60 years,60,Male,M,14016,1107631,1265.4,0.012654033698948476
NA,1999,1999,61 years,61,Female,F,10206,1138272,896.6,0.008966222484608249
NA,1999,1999,61 years,61,Male,M,14881,1040279,1430.5,0.014304816304087654
NA,1999,1999,62 years,62,Female,F,10734,1089367,985.3,0.009853428642505234
NA,1999,1999,62 years,62,Male,M,15506,986960,1571.1,0.015710869741428223
NA,1999,1999,63 years,63,Female,F,11590,1083500,1069.7,0.010696815874480849
NA,1999,1999,63 years,63,Male,M,16626,971465,1711.4,0.017114358211567066
NA,1999,1999,64 years,64,Female,F,12778,1096791,1165,0.011650350887270228
NA,1999,1999,64 years,64,Male,M,18254,973141,1875.8,0.01875781618491051
NA,1999,1999,65 years,65,Female,F,13404,1018034,1316.7,0.01316655435869529
NA,1999,1999,65 years,65,Male,M,18538,895420,2070.3,0.020703133724955886
