"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1999","1999","< 1 year","0","Female","F",12291,1852123,663.6
,"1999","1999","< 1 year","0","Male","M",15646,1943639,805.0
"Total","1999","1999","< 1 year","0",,,27937,3795762,736.0
,"1999","1999","1 year","1","Female","F",886,1849170,47.9
,"1999","1999","1 year","1","Male","M",1103,1935918,57.0
"Total","1999","1999","1 year","1",,,1989,3785088,52.5
,"1999","1999","2 years","2","Female","F",579,1849556,31.3
,"1999","1999","2 years","2","Male","M",797,1933079,41.2
"Total","1999","1999","2 years","2",,,1376,3782635,36.4
,"1999","1999","3 years","3","Female","F",445,1868553,23.8
,"1999","1999","3 years","3","Male","M",601,1956253,30.7
"Total","1999","1999","3 years","3",,,1046,3824806,27.3
,"1999","1999","4 years","4","Female","F",364,1926335,18.9
,"1999","1999","4 years","4","Male","M",474,2020918,23.5
"Total","1999","1999","4 years","4",,,838,3947253,21.2
,"1999","1999","5 years","5","Female","F",317,1950892,16.2
,"1999","1999","5 years","5","Male","M",446,2048870,21.8
"Total","1999","1999","5 years","5",,,763,3999762,19.1
,"1999","1999","6 years","6","Female","F",312,1970698,15.8
,"1999","1999","6 years","6","Male","M",384,2071922,18.5
"Total","1999","1999","6 years","6",,,696,4042620,17.2
,"1999","1999","7 years","7","Female","F",297,2034495,14.6
,"1999","1999","7 years","7","Male","M",386,2128808,18.1
"Total","1999","1999","7 years","7",,,683,4163303,16.4
,"1999","1999","8 years","8","Female","F",303,2034953,14.9
,"1999","1999","8 years","8","Male","M",389,2135753,18.2
"Total","1999","1999","8 years","8",,,692,4170706,16.6
,"1999","1999","9 years","9","Female","F",281,2061580,13.6
,"1999","1999","9 years","9","Male","M",359,2168489,16.6
"Total","1999","1999","9 years","9",,,640,4230069,15.1
,"1999","1999","10 years","10","Female","F",293,2021562,14.5
,"1999","1999","10 years","10","Male","M",394,2127091,18.5
"Total","1999","1999","10 years","10",,,687,4148653,16.6
,"1999","1999","11 years","11","Female","F",296,1969839,15.0
,"1999","1999","11 years","11","Male","M",415,2066343,20.1
"Total","1999","1999","11 years","11",,,711,4036182,17.6
,"1999","1999","12 years","12","Female","F",303,1956197,15.5
,"1999","1999","12 years","12","Male","M",414,2053713,20.2
"Total","1999","1999","12 years","12",,,717,4009910,17.9
,"1999","1999","13 years","13","Female","F",296,1952202,15.2
,"1999","1999","13 years","13","Male","M",551,2051405,26.9
"Total","1999","1999","13 years","13",,,847,4003607,21.2
,"1999","1999","14 years","14","Female","F",405,1955864,20.7
,"1999","1999","14 years","14","Male","M",754,2059148,36.6
"Total","1999","1999","14 years","14",,,1159,4015012,28.9
,"1999","1999","15 years","15","Female","F",512,1913334,26.8
,"1999","1999","15 years","15","Male","M",997,2025818,49.2
"Total","1999","1999","15 years","15",,,1509,3939152,38.3
,"1999","1999","16 years","16","Female","F",784,1948049,40.2
,"1999","1999","16 years","16","Male","M",1570,2072256,75.8
"Total","1999","1999","16 years","16",,,2354,4020305,58.6
,"1999","1999","17 years","17","Female","F",892,1947136,45.8
,"1999","1999","17 years","17","Male","M",2012,2084088,96.5
"Total","1999","1999","17 years","17",,,2904,4031224,72.0
,"1999","1999","18 years","18","Female","F",904,1942583,46.5
,"1999","1999","18 years","18","Male","M",2500,2047260,122.1
"Total","1999","1999","18 years","18",,,3404,3989843,85.3
,"1999","1999","19 years","19","Female","F",906,2010467,45.1
,"1999","1999","19 years","19","Male","M",2701,2093611,129.0
"Total","1999","1999","19 years","19",,,3607,4104078,87.9
,"1999","1999","20 years","20","Female","F",885,1915294,46.2
,"1999","1999","20 years","20","Male","M",2616,2010201,130.1
"Total","1999","1999","20 years","20",,,3501,3925495,89.2
,"1999","1999","21 years","21","Female","F",860,1838440,46.8
,"1999","1999","21 years","21","Male","M",2678,1924961,139.1
"Total","1999","1999","21 years","21",,,3538,3763401,94.0
,"1999","1999","22 years","22","Female","F",832,1807150,46.0
,"1999","1999","22 years","22","Male","M",2541,1887040,134.7
"Total","1999","1999","22 years","22",,,3373,3694190,91.3
,"1999","1999","23 years","23","Female","F",827,1744637,47.4
,"1999","1999","23 years","23","Male","M",2461,1817832,135.4
"Total","1999","1999","23 years","23",,,3288,3562469,92.3
,"1999","1999","24 years","24","Female","F",840,1793094,46.8
,"1999","1999","24 years","24","Male","M",2338,1852780,126.2
"Total","1999","1999","24 years","24",,,3178,3645874,87.2
,"1999","1999","25 years","25","Female","F",884,1800091,49.1
,"1999","1999","25 years","25","Male","M",2253,1857316,121.3
"Total","1999","1999","25 years","25",,,3137,3657407,85.8
,"1999","1999","26 years","26","Female","F",909,1814511,50.1
,"1999","1999","26 years","26","Male","M",2368,1851717,127.9
"Total","1999","1999","26 years","26",,,3277,3666228,89.4
,"1999","1999","27 years","27","Female","F",1037,1949822,53.2
,"1999","1999","27 years","27","Male","M",2512,1985242,126.5
"Total","1999","1999","27 years","27",,,3549,3935064,90.2
,"1999","1999","28 years","28","Female","F",1120,2060374,54.4
,"1999","1999","28 years","28","Male","M",2642,2086110,126.6
"Total","1999","1999","28 years","28",,,3762,4146484,90.7
,"1999","1999","29 years","29","Female","F",1211,2071169,58.5
,"1999","1999","29 years","29","Male","M",2767,2098705,131.8
"Total","1999","1999","29 years","29",,,3978,4169874,95.4
,"1999","1999","30 years","30","Female","F",1295,2064871,62.7
,"1999","1999","30 years","30","Male","M",2710,2116341,128.1
"Total","1999","1999","30 years","30",,,4005,4181212,95.8
,"1999","1999","31 years","31","Female","F",1356,1957054,69.3
,"1999","1999","31 years","31","Male","M",2828,1979133,142.9
"Total","1999","1999","31 years","31",,,4184,3936187,106.3
,"1999","1999","32 years","32","Female","F",1486,2014551,73.8
,"1999","1999","32 years","32","Male","M",3113,2029406,153.4
"Total","1999","1999","32 years","32",,,4599,4043957,113.7
,"1999","1999","33 years","33","Female","F",1634,2036474,80.2
,"1999","1999","33 years","33","Male","M",3331,2043243,163.0
"Total","1999","1999","33 years","33",,,4965,4079717,121.7
,"1999","1999","34 years","34","Female","F",1858,2176173,85.4
,"1999","1999","34 years","34","Male","M",3752,2186103,171.6
"Total","1999","1999","34 years","34",,,5610,4362276,128.6
,"1999","1999","35 years","35","Female","F",2110,2293916,92.0
,"1999","1999","35 years","35","Male","M",4165,2311702,180.2
"Total","1999","1999","35 years","35",,,6275,4605618,136.2
,"1999","1999","36 years","36","Female","F",2379,2281275,104.3
,"1999","1999","36 years","36","Male","M",4288,2262286,189.5
"Total","1999","1999","36 years","36",,,6667,4543561,146.7
,"1999","1999","37 years","37","Female","F",2592,2298941,112.7
,"1999","1999","37 years","37","Male","M",4714,2283851,206.4
"Total","1999","1999","37 years","37",,,7306,4582792,159.4
,"1999","1999","38 years","38","Female","F",2928,2276449,128.6
,"1999","1999","38 years","38","Male","M",5113,2253560,226.9
"Total","1999","1999","38 years","38",,,8041,4530009,177.5
,"1999","1999","39 years","39","Female","F",3114,2323573,134.0
,"1999","1999","39 years","39","Male","M",5401,2296996,235.1
"Total","1999","1999","39 years","39",,,8515,4620569,184.3
,"1999","1999","40 years","40","Female","F",3256,2341168,139.1
,"1999","1999","40 years","40","Male","M",5780,2326357,248.5
"Total","1999","1999","40 years","40",,,9036,4667525,193.6
,"1999","1999","41 years","41","Female","F",3537,2250723,157.1
,"1999","1999","41 years","41","Male","M",6270,2211175,283.6
"Total","1999","1999","41 years","41",,,9807,4461898,219.8
,"1999","1999","42 years","42","Female","F",3827,2271051,168.5
,"1999","1999","42 years","42","Male","M",6646,2235880,297.2
"Total","1999","1999","42 years","42",,,10473,4506931,232.4
,"1999","1999","43 years","43","Female","F",4029,2179527,184.9
,"1999","1999","43 years","43","Male","M",7183,2118325,339.1
"Total","1999","1999","43 years","43",,,11212,4297852,260.9
,"1999","1999","44 years","44","Female","F",4366,2152981,202.8
,"1999","1999","44 years","44","Male","M",7558,2106941,358.7
"Total","1999","1999","44 years","44",,,11924,4259922,279.9
,"1999","1999","45 years","45","Female","F",4568,2146028,212.9
,"1999","1999","45 years","45","Male","M",7839,2099854,373.3
"Total","1999","1999","45 years","45",,,12407,4245882,292.2
,"1999","1999","46 years","46","Female","F",4714,2031823,232.0
,"1999","1999","46 years","46","Male","M",8392,1963127,427.5
"Total","1999","1999","46 years","46",,,13106,3994950,328.1
,"1999","1999","47 years","47","Female","F",4905,2002180,245.0
,"1999","1999","47 years","47","Male","M",8645,1934967,446.8
"Total","1999","1999","47 years","47",,,13550,3937147,344.2
,"1999","1999","48 years","48","Female","F",5109,1889850,270.3
,"1999","1999","48 years","48","Male","M",8930,1820806,490.4
"Total","1999","1999","48 years","48",,,14039,3710656,378.3
,"1999","1999","49 years","49","Female","F",5521,1917853,287.9
,"1999","1999","49 years","49","Male","M",9497,1847719,514.0
"Total","1999","1999","49 years","49",,,15018,3765572,398.8
,"1999","1999","50 years","50","Female","F",5858,1915145,305.9
,"1999","1999","50 years","50","Male","M",9775,1847555,529.1
